ticker,cik,form,filed,report_date,accession,is_xbrl,is_inline_xbrl,document_url,index_url
ASTS,0001780312,424B3,2021-09-21,,0001493152-21-023286,0,0,https://www.sec.gov/Archives/edgar/data/1780312/000149315221023286/form424b3.htm,https://www.sec.gov/Archives/edgar/data/1780312/000149315221023286/0001493152-21-023286-index.html
ASTS,0001780312,8-K,2021-09-24,2021-09-20,0001493152-21-023618,1,1,https://www.sec.gov/Archives/edgar/data/1780312/000149315221023618/form8-k.htm,https://www.sec.gov/Archives/edgar/data/1780312/000149315221023618/0001493152-21-023618-index.html
ASTS,0001780312,8-K,2021-11-15,2021-11-15,0001493152-21-028676,1,1,https://www.sec.gov/Archives/edgar/data/1780312/000149315221028676/form8-k.htm,https://www.sec.gov/Archives/edgar/data/1780312/000149315221028676/0001493152-21-028676-index.html
ASTS,0001780312,10-Q,2021-11-15,2021-09-30,0001493152-21-028642,1,1,https://www.sec.gov/Archives/edgar/data/1780312/000149315221028642/form10-q.htm,https://www.sec.gov/Archives/edgar/data/1780312/000149315221028642/0001493152-21-028642-index.html
ASTS,0001780312,424B3,2021-11-17,,0001493152-21-029031,0,0,https://www.sec.gov/Archives/edgar/data/1780312/000149315221029031/form424b3.htm,https://www.sec.gov/Archives/edgar/data/1780312/000149315221029031/0001493152-21-029031-index.html
ASTS,0001780312,424B3,2021-11-17,,0001493152-21-029029,0,0,https://www.sec.gov/Archives/edgar/data/1780312/000149315221029029/form424b3.htm,https://www.sec.gov/Archives/edgar/data/1780312/000149315221029029/0001493152-21-029029-index.html
ASTS,0001780312,8-K,2021-11-26,2021-11-26,0001493152-21-029930,1,1,https://www.sec.gov/Archives/edgar/data/1780312/000149315221029930/form8-k.htm,https://www.sec.gov/Archives/edgar/data/1780312/000149315221029930/0001493152-21-029930-index.html
ASTS,0001780312,8-K,2021-12-03,2021-11-30,0001493152-21-030485,1,1,https://www.sec.gov/Archives/edgar/data/1780312/000149315221030485/form8-k.htm,https://www.sec.gov/Archives/edgar/data/1780312/000149315221030485/0001493152-21-030485-index.html
ASTS,0001780312,424B3,2021-12-07,,0001493152-21-030646,0,0,https://www.sec.gov/Archives/edgar/data/1780312/000149315221030646/form424b3.htm,https://www.sec.gov/Archives/edgar/data/1780312/000149315221030646/0001493152-21-030646-index.html
ASTS,0001780312,424B3,2021-12-07,,0001493152-21-030645,0,0,https://www.sec.gov/Archives/edgar/data/1780312/000149315221030645/form424b3.htm,https://www.sec.gov/Archives/edgar/data/1780312/000149315221030645/0001493152-21-030645-index.html
ASTS,0001780312,424B3,2022-01-20,,0001493152-22-001650,0,0,https://www.sec.gov/Archives/edgar/data/1780312/000149315222001650/form424b3.htm,https://www.sec.gov/Archives/edgar/data/1780312/000149315222001650/0001493152-22-001650-index.html
ASTS,0001780312,424B3,2022-01-20,,0001493152-22-001649,0,0,https://www.sec.gov/Archives/edgar/data/1780312/000149315222001649/form424b3.htm,https://www.sec.gov/Archives/edgar/data/1780312/000149315222001649/0001493152-22-001649-index.html
ASTS,0001780312,8-K,2022-01-20,2022-01-18,0001493152-22-001642,1,1,https://www.sec.gov/Archives/edgar/data/1780312/000149315222001642/form8-k.htm,https://www.sec.gov/Archives/edgar/data/1780312/000149315222001642/0001493152-22-001642-index.html
ASTS,0001780312,8-K,2022-03-09,2022-03-03,0001493152-22-006357,1,1,https://www.sec.gov/Archives/edgar/data/1780312/000149315222006357/form8k.htm,https://www.sec.gov/Archives/edgar/data/1780312/000149315222006357/0001493152-22-006357-index.html
ASTS,0001780312,424B3,2022-03-10,,0001493152-22-006441,0,0,https://www.sec.gov/Archives/edgar/data/1780312/000149315222006441/form424b3.htm,https://www.sec.gov/Archives/edgar/data/1780312/000149315222006441/0001493152-22-006441-index.html
ASTS,0001780312,424B3,2022-03-10,,0001493152-22-006440,0,0,https://www.sec.gov/Archives/edgar/data/1780312/000149315222006440/form424b3.htm,https://www.sec.gov/Archives/edgar/data/1780312/000149315222006440/0001493152-22-006440-index.html
ASTS,0001780312,8-K,2022-03-31,2022-03-29,0001493152-22-008496,1,1,https://www.sec.gov/Archives/edgar/data/1780312/000149315222008496/form8-k.htm,https://www.sec.gov/Archives/edgar/data/1780312/000149315222008496/0001493152-22-008496-index.html
ASTS,0001780312,10-K,2022-03-31,2021-12-31,0000950170-22-005212,1,1,https://www.sec.gov/Archives/edgar/data/1780312/000095017022005212/asts-20211231.htm,https://www.sec.gov/Archives/edgar/data/1780312/000095017022005212/0000950170-22-005212-index.html
ASTS,0001780312,424B3,2022-04-04,,0001493152-22-008920,0,0,https://www.sec.gov/Archives/edgar/data/1780312/000149315222008920/form424b3.htm,https://www.sec.gov/Archives/edgar/data/1780312/000149315222008920/0001493152-22-008920-index.html
ASTS,0001780312,424B3,2022-04-04,,0001493152-22-008918,0,0,https://www.sec.gov/Archives/edgar/data/1780312/000149315222008918/form424b3.htm,https://www.sec.gov/Archives/edgar/data/1780312/000149315222008918/0001493152-22-008918-index.html
BABA,0001577552,F-1,2014-05-06,,0001193125-14-184994,0,0,https://www.sec.gov/Archives/edgar/data/1577552/000119312514184994/d709111df1.htm,https://www.sec.gov/Archives/edgar/data/1577552/000119312514184994/0001193125-14-184994-index.html
BABA,0001577552,F-1/A,2014-06-16,,0001193125-14-236860,0,0,https://www.sec.gov/Archives/edgar/data/1577552/000119312514236860/d709111df1a.htm,https://www.sec.gov/Archives/edgar/data/1577552/000119312514236860/0001193125-14-236860-index.html
BABA,0001577552,F-1/A,2014-06-26,,0001193125-14-250684,0,0,https://www.sec.gov/Archives/edgar/data/1577552/000119312514250684/d709111df1a.htm,https://www.sec.gov/Archives/edgar/data/1577552/000119312514250684/0001193125-14-250684-index.html
BABA,0001577552,F-1/A,2014-07-11,,0001193125-14-266462,0,0,https://www.sec.gov/Archives/edgar/data/1577552/000119312514266462/d709111df1a.htm,https://www.sec.gov/Archives/edgar/data/1577552/000119312514266462/0001193125-14-266462-index.html
BABA,0001577552,F-1/A,2014-08-12,,0001193125-14-306647,0,0,https://www.sec.gov/Archives/edgar/data/1577552/000119312514306647/d709111df1a.htm,https://www.sec.gov/Archives/edgar/data/1577552/000119312514306647/0001193125-14-306647-index.html
BABA,0001577552,F-1/A,2014-08-27,,0001193125-14-322604,0,0,https://www.sec.gov/Archives/edgar/data/1577552/000119312514322604/d709111df1a.htm,https://www.sec.gov/Archives/edgar/data/1577552/000119312514322604/0001193125-14-322604-index.html
BABA,0001577552,F-1/A,2014-09-05,,0001193125-14-333674,0,0,https://www.sec.gov/Archives/edgar/data/1577552/000119312514333674/d709111df1a.htm,https://www.sec.gov/Archives/edgar/data/1577552/000119312514333674/0001193125-14-333674-index.html
BABA,0001577552,F-1/A,2014-09-15,,0001193125-14-341794,0,0,https://www.sec.gov/Archives/edgar/data/1577552/000119312514341794/d709111df1a.htm,https://www.sec.gov/Archives/edgar/data/1577552/000119312514341794/0001193125-14-341794-index.html
BABA,0001577552,424B4,2014-09-22,,0001193125-14-347620,0,0,https://www.sec.gov/Archives/edgar/data/1577552/000119312514347620/d709111d424b4.htm,https://www.sec.gov/Archives/edgar/data/1577552/000119312514347620/0001193125-14-347620-index.html
BABA,0001577552,6-K,2014-11-04,2014-11-04,0001193125-14-395484,0,0,https://www.sec.gov/Archives/edgar/data/1577552/000119312514395484/d815588d6k.htm,https://www.sec.gov/Archives/edgar/data/1577552/000119312514395484/0001193125-14-395484-index.html
BABA,0001577552,6-K,2014-11-13,2014-11-30,0001047469-14-009142,0,0,https://www.sec.gov/Archives/edgar/data/1577552/000104746914009142/a2222186z6-k.htm,https://www.sec.gov/Archives/edgar/data/1577552/000104746914009142/0001047469-14-009142-index.html
BABA,0001577552,6-K,2014-11-24,2014-11-30,0001104659-14-082832,0,0,https://www.sec.gov/Archives/edgar/data/1577552/000110465914082832/a14-23964_46k.htm,https://www.sec.gov/Archives/edgar/data/1577552/000110465914082832/0001104659-14-082832-index.html
BABA,0001577552,6-K,2015-01-29,2015-01-31,0001104659-15-005216,0,0,https://www.sec.gov/Archives/edgar/data/1577552/000110465915005216/a15-3356_16k.htm,https://www.sec.gov/Archives/edgar/data/1577552/000110465915005216/0001104659-15-005216-index.html
BABA,0001577552,6-K,2015-02-10,2015-02-28,0001104659-15-008007,0,0,https://www.sec.gov/Archives/edgar/data/1577552/000110465915008007/a15-4150_16k.htm,https://www.sec.gov/Archives/edgar/data/1577552/000110465915008007/0001104659-15-008007-index.html
BABA,0001577552,6-K,2015-04-16,2015-04-30,0001104659-15-027871,0,0,https://www.sec.gov/Archives/edgar/data/1577552/000110465915027871/a15-9221_16k.htm,https://www.sec.gov/Archives/edgar/data/1577552/000110465915027871/0001104659-15-027871-index.html
BABA,0001577552,6-K,2015-05-07,2015-05-31,0001104659-15-035237,0,0,https://www.sec.gov/Archives/edgar/data/1577552/000110465915035237/a15-11059_16k.htm,https://www.sec.gov/Archives/edgar/data/1577552/000110465915035237/0001104659-15-035237-index.html
